9780060576172,Death in Venice,Thomas Mann,,2005,Harper Collins
9780060626556,Judaism: Revelation and Traditions,"Fishbane, Michael",1st,1987,HarperSanFrancisco
9780060628628,The Sermon on the Mount: The Key to Success in Lif,"Fox, Emmet",1989,,Harpers San Francisco
9780060630157,"Christianity: A Way of Salvation, Religious","Frankiel, Sandra S.",1st,1985,HarperSanFrancisco
9780060934996,Promise Ahead,Duane Elgin,1st,2001,HarperCollins Publishers Inc.
9780070395091,Introduction to Political Economy,"Spindler, Charles",2nd,1998,McGraw-Hill
9780071345446,Essentials of Writing Biomedical Research Papers,Mimi Zeiger,2nd,2000,McGraw-Hill
9780071435093,Primer of Biostatistics,"Glantz, Stanton",6th,2006,McGraw-Hill
9780071441568,Principles of Digital Audio,"Pohlmann, Ken",5th,2005,McGraw-Hill/TAB Electronics
9780072401899,The logic book,"bergmann, Merrie",4th,2006,McGraw-Hill
9780072817188,Sociological Theory,Ritzer,6th,2004,McGraw
9780072857122,Process Analysis and Improvement: Tools,SEPPANEN,1st,2004,McGraw-Hill/Irwin
9780072863123,BIOLOGICAL ANTHROPOLOGY,PARK,4,2005,MCGRAW
9780072864717,Applications in Basic Marketing: Clippings From,"Jr., E. Jerome McCarthy William D. Perreault",,2005,McGraw-Hill/Irwin
9780072873955,International business: competing in the global marketplace,Charles W. L. Hill,5,2005,McGraw-Hill/Irwin
9780072935899,Essentials of Marketing,"Perreaukt, JR and McCarthy",10,,McGraw Hill
9780072977059,"Courts, Judges, and Politics","Murphy, Pritchett, Epstein, Knight",6,2005,McGraw-Hill Humanities/Social Sciences/Languages
9780072994421,"Business, Government and Society: A Managerial","Steiner, George A.",11th,2005,McGraw-Hill/Irwin
9780073127798,Statistics for Engineers and Scientists,William Navidi,2,2007,McGraw Hill
9780073195681,Traditions and Encounters,"Bentley, Jerry",3rd,2005,McGraw-Hill Companies
9780073397207,Taking Sides: Clashing Views on World Politics,John T. Rourke,13,2007,
9780073397283,Annual Editions: Global Issues 07/08,Robert M Jackson,23,2007,McGraw-Hill/Dushkin
9780073403892,"Public Administration: Understanding Management,","Rosenbloom, David H.",7th,2008,McGraw-Hill Humanities
9780073405032,The Ethics of Management,"Hosmer, La Rue Tone",6th,2007,McGraw-Hill/Irwin
9780073511542,Management Information Systems,"O'Brien, James A.",8th,2006,Mcgraw-Hill College
9780073514147,Creative Spirit: An Introduction to Theatre,"Arnold, Stephanie",4,2007,McGraw-Hill
9780073527208,Taking Sides: Clashing Views in Business Ethics and Society,newton & ford,9th,2005,McGraw-Hill/Dushkin
9780345348104,Killer Angels,"Shaara, Michael",Paper,1987,Ballantine
9780123865885,Therapist Guide to Clinical Intervention,"Johnson, Sharon",2nd,2003,Academic Press
9780130176103,Organizational Behavior: An Experiential Approach,OSLAND,7,2000,Prentice Hall
9780130271631,Theories of Counseling and Psychotherapy: A Case Approach,"Murdock, Nancy L.",,2003,Prentice Hall
9780130309570,"Natural hazards: earth's processes as hazards, disasters, and catastrophes",Keller,1st,2006,Pearson
9780130494702,Counseling: A Comprehensive Profession,Samuel Gladding,5th,,
9780130918345,Contemporary Asian American Experience,Fong,2,2002,Pearson
9780130939890,Behavior Management: Principles and Practices,"Wheeler, John J.",,2004,Prentice Hall
9780130986627,Assessing Infants and Preschoolers w/special needs,"Mary McLean, Mark Wolery, Donald B. Bailey",3rd,2003,Prentice Hall
9780131113404,Young Children With Special Needs,"Stephen R. Hooper, Warren Umansky",4th,2003,Prentice Hall
9780131180086,A Guide to Ethical Conduct for the Helping Professions,Samuel Gladding,,2005,Pearson Prentice Hall
9780131197954,"Families, professionals, and exceptionality: positive outcomes through partnerships and trust",Turnbull,5th,2006,Pearson
9780131405394,"Logic and computer design fundamentals, Volume 1",M. Morris Mano,3,,
9780131434769,"Exploring Microsoft Office 2003, Volume 1",,,,
9780131434813,"Microsoft Office Excel 2003, Volume 1","Grauer, Robert",spiral,2004,Pearson Prentice Hall
9780131449411,Intro to Chemical Principles Student Solutions Man,H. Stephen Stoker,8th,2004,Pearson Education
9780131453340,Linear Algebra with Applications,Bretscher,3rd,2005,Pearson
9780131467507,The Fortune at the Bottom of the Pyramid:,"Prahalad, C. K.",,2004,Wharton School Publishing
9780078111020,FINANCIAL ACCOUNTING,,,,
9780131531178,Geosystems: An Introduction to Physical Geography,"Christopherson, Robert",6th,2005,Prentice Hall
9780131539082,Behavior Disorders of Childhood,"Wicks-Nelson, Rita",6th,2006,Prentice Hall
9780131786868,Social Psychology,Aronson,5th,2005,Pearson
9780131128149,"Ethical, Legal and Professional Issues in Counseling","Theodore P. Remley, Barbara Herlihy",2nd,2006,Prentice Hall
9780062508119,The World's Religions: Our Great Wisdom Traditions,Smith,,2005,Pearson - Prentice Hall
9780131850064,Introduction to Chemical Principles,H. Stephen Stoker,8th,2004,Pearson Education
9780131856400,Prentice Hall Reference Guide,Harris,6th,2006,Pearson
9780131874626,The atmosphere: an introduction to meteorology,Lutgens,10,2007,Pearson
9780131880474,Information Technology,Senn,3rd,2004,Pearson
9780131890954,Organizational Behavior,"Robbins, Stephen P.",12 ed,2007,Prentice Hall
9780131899858,"Focus on grammar: an integrated skills approach, Volume 3","Fuchs, Marjorie; Bonner, Margaret; Westheimer, M",3rd,2006,Pearson Longman
9780131930438,Latin America: A Concise Interpretive History,"Burns, Bradford E.",8th,2006,Prentice Hall
9780131989269,Logic and Computer Design Fundamentals,"Mano, M. Morris",4th,2007,M. Morris
9780132203845,Statistics for business and economics,"Newbold, Paul",6th,2006,Prentice Hall
9780132243315,Electronic commerce 2008: a managerial perspective,"Turban, Efraim",Hardcover,2007,Prentice Hall
9780132370622,Operations Management Student Lecture Guide,Heizer & Render,8th,2007,Pearson - Prentice Hall
9780132380348,Essentials of Logic,Irving M. Copi,2nd,2007,Prentice Hall
9780132392549,Comparative criminal justice systems: a topical approach,"Reichel, Philip L.",5th,2007,Prentice Hall
9780136155638,Introduction to International Political Economy,David N. Balaam,4th,2007,Prentice Hall
9780140178210,The Bloody Chamber,CARTER,,1979,PENG-U
9780140194708,The farther reaches of human nature,Abraham Maslow,,1971,Penguin Compass
9780140437614,The Life and Adventures of Robinson Crusoe,"Daniel Defoe, John Richetti",Reissue,2001,Penguin Classics
9780140444285,The Discourses,Machiavelli,New Ed,1984,Penguin
9780140449884,"Selected Poems (Tagore, Rabindranath)","Tagore, Rabindranath",,2005,Penguin Classics
9780140714036,Measure for Measure (Pelican),"Shakespeare, William",Revised,1956,Penguin
9780140714173,As You Like It,William Shakespeare,revised,1987,Penguin Group
9780140714548,Hamlet,"Shakespeare, William",,2001,Penguin Putnam
9780140714586,Henry V,"Shakespeare, William",1st,1999,Penguin
9780141182568,A Streetcar Named Desire and Other Plays,"Williams, Tennessee",paper,2000,Penguin Classics
9780143036029,The Heart of the World: A Journey to Tibet's Lost Paradise,"baker, ian",Paper,2004,penguin books
9780143036371,Disgrace,"Coetzee, J.M.",1st,2000,Penguin
9780151400034,Henry and June: from the unexpurgated diary of Anais Nin,"Nin, Anais",1st,1986,Harcourt
9780155063952,The Harcourt Anthology of Drama,W. B. Worthen,1,,Wadsworth Publishing
9780156003896,Altogether Elsewhere: Writers on Exile,"Robinson, Marc",1st,1994,Harcourt Brace & Co - Harvest Book
9780156030472,to the Lighthouse,Woolf,,,
9780156711425,A Passage to India,"Forster, E.M.",,1965,Harvest Books
9780192834140,The Tempest,"William Shakespeare, Stephen Orgel",Paper,1998,Oxford University Press
9780195112108,Sex and social justice,Martha Craven Nussbaum,paper,1999,oxford
9780195115017,Becoming attached: first relationships and how they shape our capacity to love,Robert Karen Ph. D,,1994,oxford university press
9780195119039,"The craft of inquiry: theories, methods, evidence",,,,
9780195126358,A March of Liberty: From the founding to 1890,Urotsky,2,2001,Oxford University Press
9780195139792,The Heart and the Fountain: An Anthology of Jewish Mystical Experiences,Joseph Dan,,,
9780195145816,Philosophy of mind: classical and contemporary readings,"Chalmers, David J.",Paper,2002,Oxford University Press
9780195146516,Debating diversity: clashing perspectives on race and ethnicity in America,Takaki,3,2002,Oxford University Press
9780195160451,Juvenile Justice in the making,"Tanenhaus, David",,2004,Oxford University Press
9780195167641,Gender Through the Prism of Difference,"Zinn, Maxine Baca",3rd,,Oxford University Press
9780195179606,Leading Issues in Economic Development,"Meier, Gerald M.",8th,2004,Oxford University Press
9780195172720,Silent Covenants: Brown V. Board of Education and the Unfulfilled Hopes for Racial Reform,"Bell, Derrick",Paper,2004,Oxford University Press
9780195284782,"The new Oxford annotated Bible: with the Apocryphal/Deuterocanonical books, Issue 43","Coogan, Michael D.",3rd,2001,Oxford University Press
9780199260584,Introduction to international relations: theories and approaches,Jackson & Sorensen,2nd,2003,Oxford university Press
9780205353118,Social Research Methods,bryman,5th,2004,Oxford
9780201741193,Data abstraction and problem solving with C++: walls and mirrors,"Frank M. Carrano, Janet Prichard",3rd,2002,Addison Wesley Professional
9780205324736,Theories in counseling and therapy: an experiential approach,Kottler,1st,2001,Allyn & Bacon
9780205347728,Family interaction: a multigenerational development perspective,Anderson,3rd,2003,Allyn and Bacon (Pearson)
9780205361076,"Introduction to Video Production: Studio, Field, and Beyond",Compesi,paperback,2005,Allyn & Bacon
9780205372478,Educational research: fundamentals for the consumer,"McMillan, James H.",4,2003,Pearson Education
9780205503476,Social Welfare: Politics and Public Policy: with Research Navigator,"DiNitto, Diana M.",6th,2003,Allyn & Bacon
9780205376063,An introduction to group work practice,"Toseland, Ronald W.",5th,2004,"Allyn 
Allyn & Bacon"
9780205396771,Developing your theoretical orientation in counseling and psychotherapy,Halbur and Halbur,,2005,Allyn & Bacon
9780205411863,Lives across cultures: cross-cultural human development,Gardiner & Kosmitzki,3rd,2004,Allyn & Bacon
9780205419357,Making contact: the therapist's guide to conducting a successful first interview,"DeSole, L.M.",1st,2006,Allyn & Bacon
9780205454624,Discovering Child Development,Fabes,3rd,,Pearson
9780205480715,"SPSS for Windows step by step: a simple guide and reference, 13.0 update",GEORGE,6,2006,Pearson Higher Education
9780205493944,Classrooms That Work: They Can All Read and Write,"Cunningham, Patricia M.",4th,2006,Allyn & Bacon
9780226142647,Intimate matters: a history of sexuality in America,demilio,paper,1997,Chicago
9780226278605,An interpretation of desire: essays in the study of sexuality,"Gagnon, John H.",Paper,2004,University of Chicago Press
9780226280653,Freaks Talk Back: Tabloid Talk Shows and Sexual Nonconformity,GAMSON,2nd,1998,University of Chicago Press
9780230006690,Global political economy: evolution and dynamics,"O'Brien, Robert",2nd,2007,Palgrave Macmillan
9780240519210,Choosing and using audio and music software: a guide to the major software packages for Mac and PC,"Collins, Mike",,2004,Focal Press (Elsevier)
9780253203809,The Imaginary Signifier: Psychoanalysis and the Cinema,Christian Metz,,,Indiana University Press
9780271026763,"The infortunate: the voyage and adventures of William Moraley, an indentured servant",Klepp,2,2005,Pennsylvania State University
281433307720B,Human Physiology Lab Manual (CR),Manuguid,Paper,,SFSU Bookstore
0281433307939,BUS 887.01 Course Reader,,,,
9780292701922,HOMEGIRLS IN THE PUBLIC SPHERE,Marie Miranda,,2003,University of Texas Press
9780300095241,How Democratic is the American Constitution?,Dahl,2nd,2003,Yale University Press
9780312066659,"Gulliver's travels: complete, authoritative text with biographical and historical context","Swift, Jonathan",,1995,Bedford/St. Martin's
9780312083502,The World turned upside down: Indian voices from early America,Calloway,1st,1994,Bedford Books of St. Martin's
9780312263805,Prison Writings: My Life is My Sun Dance,"Peltier, Leonard",1,2006,St. Martin's Griffin
9780312406882,"The American Promise: A History of the United States, Volume I: To 1877",Roark,3rd,2004,Bedford St. Martin's
9780312417611,"Making of the West, The	The making of the west: peoples and cultures. Since 1500","Hunt, Martin",2nd,,Bedford/St. Martin's
9780312424671,Small Island,Andrea Levy,1st,2005,Picador
9780374292881,The World is Flat: a Brief History of the Twenty-First Century,"Friedman, Thomas L.",,2005,FarrarStraus and Giroux
9780312425289,Graceland,Chris Abani,1st,2005,Picador
9780312434458,"The Compact Bedford Introduction to Literature: Reading, Thinking, Writing","Meyer, Michael",7th,2006,Bedford St. Martin
9780312445744,"Literature and Its Writers: A Compact Introduction to Fiction, Poetry, and Drama","Charters, Ann",4th,2006,Bedford/St. Martin's
9780312447038,Rereading America: Cultural Contexts for Critical Thinking and Writing,Colombo & Cullen,7th,2007,Bedford/St. Martins
9780312535032,A pocket guide to writing in history,"Rampolla, Mary Lynn",6th,2009,Bedford/St. Martin's
9780314052735,Physics: the nature of things,LEA & BURKE,1st,1996,Brooks Cole
9780314207319,Student Solutions Manual to Accompany Lea/Burke's Physics: The Nature of Things,"Lea, Burke, Salzman, Kelly",,1997,West
9780314252074,Jurisprudence: classical and contemporary : from natural law to postmodernism,"Levit,  Nancy",2nd,2002,West Group Publishing
9780316779494,Naked,"Sedaris, David",paper,1997,Hachette DigitalInc.
9780316831123,A different mirror: a history of multicultural America,Ronald T. Takaki,,1993,Little
9780321011473,Influence: Science and Practice,"Cialdini, Robert B.",4th,,Allyn & Bacon
9780321186492,Final Cut Pro 4,Weynand,,2004,Nacscorp
9780321485519,Macroeconomics,Gordon,10,2005,Addison Wesley
9780321317414,Conversations: readings for writing,Jack Selzer,6th,2006,Pearson
9780321317957,The basics of American politics,Gary Wasserman,12th,2005,Longman
9780321334336,"Mathematics with applications: in the management, natural, and social sciences",Lial & Hungerford,9th,2007,Addison-Wesley
